de_easy;de_hard;en_easy;en_hard
lage;bekommen;candy;deficiency
erfolg;wahrheit;cap;delegate
läuft;entsprechend;capital;deliberate
probleme;wahrheitsgemäß;car;democracy
hause;wahrheitsgetreu;card;demonstration
krieg;wahrhaftig;care;dependency
mai;aufrichtig;careful;depression
september;prähistorisch;carry;description
tod;urgeschichtlich;case;desperate
klasse;bibliographie;cat;destruction
preis;haube;catch;determination
rolle;kamm;cause;deteriorate
brauchen;merlin;chair;diagnosis
zahlen;schattig;chance;dialogue
gekommen;schatten;change;dilemma
kirche;spendend;charge;diminish
märz;vermessung;cheap;disability
verschiedenen;messung;check;disagreement
partei;messen;cheese;disapproval
führen;brotrinde;chef;discipline
seiten;waffenrock;chicken;disclosure
meinung;bunter;child;discomfort
reden;rock;chocolate;discrimination
blick;abweichler;choice;discussion
name;schwarzes;choose;dismantle
kaufen;schaf;church;disparity
lernen;andersdenkender;circle;displacement
moment;dissident;city;disposal
sprechen;rebell;class;disruptive
video;rothaariger;clean;distinguish
spiele;leerstelle;clear;distribution
jungen;leerschlag;climb;diversity
glauben;abstand;clock;dominate
mitte;leerzeichen;close;donation
scheiße;sitz;clothes;dormitory
bilder;stuhl;cloud;dramatic
november;leistungsumfang;club;drawback
freund;lieferumfang;coat;duration
system;zubehör;coffee;economy
spricht;hinunter;cold;efficiency
raum;abwärts;color;elaborate
april;runter;come;elegant
setzen;herunter;comfort;elevation
schaffen;nieder;common;eliminate
oktober;herab;complete;embrace
suche;unten;computer;emergency
juni;hinab;concert;emphasize
juli;tiefe;condition;employ
hören;pflegen;connect;empower
einsatz;instand;cook;endangered
rahmen;halten;cool;endeavor
sachen;stand;corner;endure
stück;warten;correct;enforce
möglichkeit;zuchtbuch;cost;enhancement
stunde;blätter;cotton;enormous
höhe;laub;count;enterprise
zahl;sammeln;country;enthusiasm
job;akkumulieren;course;environment
titel;anhäufen;cousin;epidemic
wohnung;zusammentragen;cover;equation
sex;ansammeln;cow;equivalent
tochter;unterbrechbar;crash;erosion
nächste;preemptiv;crazy;essential
sommer;abgewetzt;create;establishment
hoffe;abgegriffen;crowd;evaluate
kennen;abgenutzt;cry;evolution
sorgen;alt;cup;exaggerate
weise;senderaum;cut;exceptional
mitarbeiter;studio;dance;exclusive
sprache;variierende;danger;execute
kunst;formulierung;dark;exemplary
band;bedeutungsgleiches;date;exhaustion
sicherheit;wort;daughter;exhibit
gebracht;anderes;day;expectation
fehler;bezeichnung;dead;expedition
menge;synonym;dear;expertise
chance;gleichbedeutender;decision;explanation
meter;ausdruck;deep;explosion
spieler;lungenentzündung;deer;exquisite
ziehen;schmarotzer;desk;extensive
laufen;bettler;dessert;external
gefühl;schnorrer;develop;extinct
gleichen;panzerfaust;diamond;extraordinary
verschiedene;puma;diary;fabrication
saison;arbeitsordnung;dictionary;facilitate
medien;parkett;die;faculty
antwort;aktienbörse;different;fascinating
versuchen;börse;difficult;feasibility
vergleich;zoologie;dinner;federation
bahn;tierkunde;dirty;fictional
tragen;bombastisch;discover;flexible
gesicht;gepfeffert;dish;fluctuate
dezember;horrend;distance;formulate
monate;üppig;doctor;fortunate
nähe;übermäßig;dog;foundation
entscheidung;operation;doll;fragment
nutzen;betäubt;dollar;fraud
gedanken;schmerz;door;frequency
herz;starr;double;frustration
jahres;abenddämmerung;down;fundamental
sinn;abendrot;dozen;generate
gemeinde;abendröte;draw;genetics
januar;einsetzende;dream;genuine
luft;dunkelheit;dress;governance
reihe;sonnenuntergang;drink;graduate
lösung;blaue;drive;gratitude
stimme;stunde;drop;guarantee
daten;käufliches;dry;habitat
foto;mädchen;duck;hazardous
interesse;geld;during;heritage
kultur;dirne;dust;hierarchy
könig;kurtisane;duty;highlight
warten;hure;each;hospitality
boden;horizontale;ear;humanitarian
wirtschaft;gefallenes;early;humiliation
situation;prostituierte;earth;hypothesis
bruder;anbieterin;east;identical
region;sexuelle;easy;identity
richtige;dienstleistungen;eat;illusion
erreichen;strichmädchen;edge;illustrate
kritik;professionelle;egg;immediate
opfer;betreibt;eight;implement
informationen;älteste;either;implication
fußball;gewerbe;elbow;impose
februar;welt;elephant;impression
sonntag;nutte;else;improvement
kreis;hetäre;empty;inadequate
rede;freudenmädchen;end;inappropriate
gewinnen;frau;energy;incentive
typ;spezielle;engine;incidental
zeiten;callgirl;enjoy;inclination
hohen;schnepfe;enough;incorporate
verein;verheilen;enter;independence
punkt;abheilen;envelope;indigenous
nachrichten;schale;equal;inevitable
bevölkerung;tasse;escape;inferior
körper;schüssel;even;influential
firma;napf;evening;infrastructure
mitglieder;umschlag;event;ingenious
ergebnis;umsatz;ever;ingredient
markt;stützpunkt;every;inhabitant
beginn;lager;everybody;inheritance
licht;basis;exactly;innovation
regel;eingeben;example;inquiry
grünen;einreichen;excellent;insidious
ausbildung;ausrollen;except;insight
politische;einteilung;excited;inspiration
freundin;sortierung;exercise;instinct
staat;klassifizierung;expect;institution
kenne;kategorisierung;expensive;integrate
monat;klassifikation;explain;integrity
politiker;errichten;express;intelligence
russland;aufstellen;eye;intention
kindern;aufmarschieren;face;interaction
bedeutung;linie;fact;intercept
gefallen;abfertigung;factory;intervene
verbindung;beruhigungsmittel;fail;investment
zeitung;tranquilizer;fair;investigation
programm;entfernung;fall;invincible
text;verzögerung;family;involve
hälfte;verlangsamung;famous;irrelevant
folgenden;klempner;fan;isolated
schüler;installateur;far;justification
europäischen;spengler;farm;knowledgeable
erklären;besatzung;fast;laboratory
okay;mannschaft;fat;legislation
kraft;crew;father;legitimate
präsident;verbundenheit;favorite;liability
bürger;nähe;fear;liberation
kampf;vertrautheit;feel;likelihood
hohe;gemeinschaft;festival;limitation
projekt;pumpen;few;linguistic
erfahrung;bildung;field;literature
monaten;roten;fight;livelihood
zimmer;schritt;fill;logical
ahnung;schritttempo;film;lucrative
sport;hexenschuss;final;maintenance
punkte;lokales;find;manifestation
politischen;diabetes;fine;manipulate
stimmen;zuckerkrankheit;finger;mandatory
liste;zucker;finish;marginal
größten;biologische;fire;materialistic
druck;vorstufe;first;maturity
schauen;edukt;fish;meaningful
herren;grundstoff;fit;mechanism
wochenende;vorläufer;five;mediation
schritt;angeschlossen;flag;meditation
unterstützung;erreichbar;flat;memorable
fallen;verbunden;flight;metabolism
schau;zugreifbar;floor;methodology
verfügung;zugänglich;flower;migration
staaten;online;fly;millennium
müsste;ansprechbar;follow;miniature
kunden;antwort;food;misconception
wählen;schuldig;foot;modification
wahrheit;bleiben;football;motivation
linie;schlagfertig;forest;narrative
worte;zungenfertig;forget;nationality
schuld;verlegen;fork;navigation
natur;wortgewandt;form;negligence
einzelnen;spritzig;forward;negotiate
gefahr;geistesgegenwärtig;four;nomination
bett;flinker;free;nonchalant
angebot;zunge;fresh;notorious
öffentlichen;passende;friend;nutritious
wusste;mund;frog;obligation
mannschaft;gefallen;from;obscure
ordnung;sofort;front;observation
teilen;parat;fruit;obsession
satz;erbrechen;full;obtain
ändern;antiemetikum;fun;obvious
gmbh;originell;funny;occupation
samstag;speziell;future;occurrence
rot;eigentümlich;game;offender
teile;exportieren;garden;official
aufgabe;ausführen;gas;omission
freuen;unbeaufsichtigt;general;opponent
runde;unbewacht;generous;opportunity
chef;putz;gentle;oppression
serie;hauen;get;optimistic
lehrer;streit;gift;organism
veröffentlicht;suchen;girl;orientation
dollar;unruhe;give;originate
bank;stiften;glad;ornament
zug;sau;glass;outbreak
gesetz;rauslassen;go;outrageous
entscheiden;verleih;gold;overlook
erkennen;vermietung;good;participation
gebäude;rivalität;goose;particularly
beitrag;wettstreit;grand;passionate
hotel;rangeleien;grandmother;patience
gleiche;wetteifer;grandfather;patriotic
freitag;konkurrenz;grass;peculiar
reise;gerangel;great;perceive
erde;programmiert;green;perception
sitzen;verhandelbar;ground;perseverance
erfahren;unabdingbar;group;personality
bewegung;zwingend;grow;persuasion
gruppen;vorherbestimmt;guess;phenomenon
ehe;alternative;guest;philosophy
gründen;unaufhaltsam;guide;photography
gewalt;unabwendbar;guilty;physiological
nummer;alternativlos;guitar;plagiarism
flüchtlinge;weg;habit;plausible
sieg;vorbei;hair;popularity
verhalten;unvermeidlich;half;portfolio
universität;imperativ;hand;possession
start;unabweisbar;happy;potential
tür;unumgänglich;hard;practitioner
gold;vorprogrammiert;hat;predecessor
ergebnisse;führt;hate;predicament
bildung;vermeidbar;have;preference
werk;unausweichlich;he;preliminary
post;locken;head;preservation
ruhe;versuchen;health;prevalent
hart;verführen;hear;primitive
rest;verlocken;heart;privilege
besuch;versuchung;heat;probability
länder;bringen;heavy;problematic
sinne;führen;hello;procedure
linken;verleiten;help;productivity
englisch;schießscheibe;hen;profession
landes;zielscheibe;her;proficient
leuten;locker;here;progressive
fenster;lax;hide;projection
verfahren;leger;high;proportion
erwarten;weltgewandtheit;hill;prosperity
zeichen;vergewissern;history;provocative
stolz;nachsehen;hit;punctual
freien;kontrollieren;hold;pursue
freiheit;sichergehen;holiday;qualified
vorstellen;nachschauen;home;questionnaire
bericht;behandeln;honey;quotation
begriff;malträtieren;hope;radiation
lebens;misshandeln;horse;rational
schönen;missbrauchen;hospital;realization
fans;blockschaltbild;hot;rebellion
zahlreiche;plüsch;hotel;recipient
versuche;betrüben;hour;recommend
versuch;bedrücken;house;reconciliation
freude;deprimieren;huge;recreation
plan;grämen;human;redundant
vertrag;schwer;humor;reflect
leistung;seele;hundred;refreshment
zusammenhang;liegen;hungry;regulation
auswahl;fertigmachen;hurry;reinforce
lieben;traurig;hurt;rejection
montag;stimmen;husband;relevance
http;magen;ice;reliability
wichtige;tiefschlag;idea;reluctant
zeitpunkt;versetzen;if;remarkable
grenzen;passivsaldo;important;renovation
hund;ausrichten;impossible;repetition
getan;anordnung;improve;representative
gegangen;zeitpunkt;in;reproduction
angaben;weichenstellung;inch;requirement
sicht;entscheidung;include;resemblance
arzt;künftige;increase;reservation
website;ausrichtung;indeed;resolution
karte;vokal;indoor;resourceful
größe;selbstlaut;industry;respectful
bau;realiter;inside;restrictive
meister;wahrlich;instant;retention
lust;facto;instead;revelation
baden;wahrhaft;interest;revenue
hintergrund;sagen;international;rigorous
sonne;faktisch;into;sacrifice
regeln;wirklichkeit;introduce;satisfaction
anzahl;tatsächlich;invite;scandalous
volk;echt;iron;scenario
langen;praxis;island;schedule
heutigen;ergebnis;it;scrutiny
tiere;lage;its;segment
mehreren;dinge;jacket;sensational
glaub;endergebnis;jam;sentiment
kontakt;energie;january;sequence
bestehen;leidenschaftlichkeit;jeans;severe
kaffee;eifer;job;significant
position;leidenschaft;join;simulation
wagen;heftigkeit;joke;skepticism
laden;feuer;journey;solution
grenze;dynamik;joy;sophisticated
schutz;passion;juice;specimen
verkaufen;entzündung;jump;spectacular
studium;inwendig;jungle;spontaneous
unterschied;innere;just;stability
winter;intern;keep;statistic
richtigen;innerer;key;stimulate
komme;maßlose;kick;strategic
handy;enttäuschung;kid;structure
folgende;erbitterung;kill;submission
gesamte;bitterkeit;kind;substantial
tisch;verbitterung;king;substitute
union;trieb;kitchen;subtle
bücher;reis;knee;successor
legen;zweig;knife;sufficient
mitglied;umwerfend;knock;summarize
freie;sahne;know;superficial
technik;hervorragend;lady;suppress
studie;toll;lake;susceptible
werbung;erstklassig;lamp;sustainability
leid;hinreißend;land;symbolic
urlaub;phantastisch;language;synchronize
gewonnen;wundervoll;large;synthetic
weißt;affengeil;last;systematic
aktuelle;phänomenal;late;technician
kollegen;sterben;laugh;technology
fühlen;schön;lazy;temporary
auge;sensationell;lead;tendency
fällen;traum;learn;terminate
betrieb;brillant;leave;territorial
maßnahmen;sagenhaft;left;theoretical
gericht;großartig;leg;therapist
gebiet;fassen;lemon;tolerance
himmel;bestens;length;toxic
amt;fabelhaft;less;transformation
club;atemraubend;lesson;transition
schlafen;niederknien;letter;transparent
teilnehmer;hammer;level;transportation
bier;exzellent;library;tribute
jahrhundert;klasse;life;trivial
erfahrungen;kino;light;trustworthy
jugend;feinsten;like;turbulent
;wucht;line;unanimous
;tüten;lion;uncertainty
;fulminant;list;unconventional
;super;listen;undeniable
;grandios;little;underprivileged
;unglaublich;live;undertake
;wunderbar;load;unethical
;glänzend;local;unification
;spitze;lock;unique
;himmlisch;long;unprecedented
;geil;look;unpredictable
;begnadet;loose;unrealistic
;ausgezeichnet;lost;unspoken
;absolut;loud;unsustainable
;einzigartig;love;update
;absoluter;low;upgrade
;wahnsinn;lucky;urgency
;fantastisch;lunch;utilization
;überwältigend;machine;vaccination
;kriegst;magic;validity
;motten;main;variation
;herausragend;make;vegetarian
;genial;man;velocity
;top;many;verification
;atemberaubend;map;versatile
;überragend;mark;vibrant
;irre;market;violation
;traumhaft;marriage;virtual
;offenbarung;marry;visibility
;überführen;match;visualize
;umsetzen;matter;vocabulary
;handeln;maybe;voluntary
;übersetzen;me;vulnerability
;verwirklichen;meal;wealth
;werk;mean;welfare
;setzen;measure;widespread
;durchführen;meat;wilderness
;leben;medicine;withdrawal
;füllen;meet;worthwhile
;vornehmen;melon;workforce
;realisieren;member;workload
;blickpunkt;memory;workshop
;fokus;message;worship
;abzielen;metal;worthwhile
;erholen;meter;yield
;neu;middle;zeal
;erstellen;milk;
;wiederherstellen;million;
;regenerieren;mind;
;wind;minute;
;segeln;miss;
;kreuzen;mistake;
;ausländisch;mix;
;fremdländisch;model;
;heimisch;modern;
;migrationshintergrund;moment;
;fremd;money;
;handwaffe;monkey;
;notiz;month;
;nehmen;moon;
;kenntnis;morning;
;vermerken;most;
;support;mother;
;erleichterung;mountain;
;beistand;mouth;
;stütze;move;
;helfende;movie;
;hand;much;
;unterstützung;museum;
;stab;music;
;kooperation;my;
;hilfe;name;
;hilfestellung;narrow;
;betreuung;nation;
;eng;nature;
;beieinander;near;
;verantwortungslosigkeit;neat;
;notaufnahme;neck;
;unfallstation;need;
;rettungsstelle;neighbor;
;nothilfe;neither;
;leibliche;nervous;
;nachkommenschaft;never;
;abkömmlinge;new;
;hacken;next;
;knacken;nice;
;einbrechen;night;
;fehlstart;no;
;ineinander;nobody;
;greifen;noise;
;verflechten;none;
;verhaken;normal;
;kehrseite;north;
;schattenseite;nose;
;dunkle;note;
;seite;nothing;
;negative;notice;
;aspekte;now;
;nachteil;number;
;medaille;nurse;
;behandlung;object;
;heilverfahren;ocean;
;medizinische;offer;
;versorgung;office;
;therapie;often;
;regelmäßigkeit;oil;
;erweisen;old;
;widerspiegeln;on;
;formen;once;
;finden;one;
;niederschlagen;only;
;ausprägen;open;
;zeigen;opinion;
;äußern;opportunity;
;zurückhalten;opposite;
;unterkühlung;or;
;abschließend;orange;
;endgültig;order;
;definitiv;ordinary;
;fix;other;
;mal;our;
;produktpalette;ourselves;
;produktangebot;out;
;zuspruch;outside;
;zureden;over;
;tröstung;own;
;trost;package;
;balsam;page;
;warme;pain;
;worte;paint;
;beherrschen;pair;
;ausüben;paper;
;geltend;parent;
;schwarzhandel;park;
;schwarzer;part;
;markt;partner;
;schwarzmarkt;party;
;manuelle;pass;
;arbeit;past;
;handarbeit;path;
;annullieren;patient;
;widerrufen;pattern;
;zurückrufen;pay;
;zurücknehmen;peace;
;abbestellen;pen;
;nullwachstum;pencil;
;stagnation;people;
;betonmischer;perfect;
;obstruktion;period;
;behinderung;person;
;widerstand;pet;
;blockierung;phone;
;störung;photo;
;buchführung;pick;
;buchhaltung;picture;
;metabolismus;piece;
;stoffwechsel;pig;
;schütteln;pilot;
;beuteln;pink;
;rütteln;place;
;sitzungszimmer;plan;
;konferenzraum;plant;
;blutzucker;plastic;
;senkendes;plate;
;einsteigen;play;
;links;please;
;lassen;pleasure;
;übergehen;pocket;
;beachten;poem;
;schlingern;point;
;rollen;police;
;applaus;polite;
;spenden;pool;
;beifall;poor;
;zollen;popular;
;händchen;population;
;applaudieren;position;
;klatschen;possible;
;bedenken;post;
;hände;potato;
;rühren;practice;
;rufen;prepare;
;falsch;present;
;unecht;price;
;gefälscht;prince;
;windung;princess;
;antidot;problem;
;gegengift;produce;
;gegenmittel;program;
;filzig;project;
;verfilzt;promise;
;speisespannung;proud;
;decken;protect;
;zusammenpassen;public;
;übereinstimmen;pull;
;kommission;purple;
;vereinten;purpose;
;nationen;push;
;internationales;put;
;handelsrecht;quality;
;augenheilkunde;question;
;betreffend;quick;
;aktualisierung;quiet;
;update;quite;
;upgrade;radio;
;verbesserte;rain;
;version;raise;
;ergänzung;reach;
;verbindung;read;
;ziel;ready;
;schwungrad;real;
;verlangen;reason;
;dürsten;receive;
;vergehen;record;
;verzehren;red;
;sehnen;refuse;
;lechzen;region;
;fiebern;relax;
;schmachten;remember;
;gieren;repeat;
;sehnlichst;reply;
;vermissen;report;
;verschmachten;rest;
;praxisnah;restaurant;
;praxisbezogen;result;
;praxisorientiert;return;
;praxisgerecht;rich;
;unerschütterlich;ride;
;gradlinig;right;
;charakterfest;ring;
;furcht;river;
;tadel;road;
;geradlinig;rock;
;charakterstark;room;
;unbeirrbar;rope;
;obrigkeitlich;rose;
;bevormundend;round;
;herrisch;rule;
;autoritär;run;
;lebensgefährlich;sad;
;selbstmörderisch;safe;
;lebensbedrohlich;salad;
;halsbrecherisch;salt;
;verfolgungswahn;same;
;paranoia;sand;
;systematisierter;save;
;wahn;say;
;gehör;school;
;schädigend;science;
;seidengarn;sea;
;fall;search;
;genitiv;season;
;überschuss;seat;
;rendite;second;
;ausbeute;secret;
;gewinn;see;
;verdienstspanne;seem;
;bissen;sell;
;schwarze;send;
;zahlen;sense;
;marge;sentence;
;gewinnspanne;separate;
;ertrag;serious;
;geschäftsergebnis;serve;
;erlös;set;
;profit;seven;
;päpstlicher;shake;
;erlass;shape;
;päpstliche;share;
;bulle;sharp;
;undeutlich;sheep;
;unartikuliert;shelf;
;artikuliert;shine;
;verschwommen;ship;
;unklar;shirt;
;verständlich;shoe;
;verwaschen;shop;
;nachträglich;short;
;außerplanmäßig;shoulder;
;verminderung;shout;
;sportler;show;
;sportsmann;shut;
;athlet;sick;
;besprechung;side;
;consulting;sign;
;beratung;silent;
;konsultation;silver;
;ausweitung;simple;
;ausdehnung;sing;
;zuwachs;sister;
;expansion;sit;
;extension;six;
;ausdrücken;size;
;auspressen;skill;
;ausquetschen;skin;
;bedeutend;sky;
;geringer;sleep;
;minder;slow;
;knochig;small;
;runder;smart;
;schnörkel;smile;
;unbeholfener;snow;
;kreis;so;
;beißen;soft;
;kauen;some;
;fortstehlen;song;
;schlanken;soon;
;fuß;sorry;
;außerschulisch;sound;
;außerhalb;south;
;gesellschaftsraum;space;
;foyer;speak;
;aufenthaltsraum;special;
;ausfallstraße;speed;
;führende;spend;
;straße;square;
;deckungslücke;stage;
;beschwerde;stair;
;einlegen;stand;
;einspruch;star;
;erheben;start;
;ranzen;stay;
;tornister;step;
;schultasche;still;
;schulmappe;stone;
;schulranzen;stop;
;pfropfen;store;
;erregen;storm;
;anspitzen;story;
;anmachen;strange;
;scharfmachen;street;
;touren;strong;
;antörnen;student;
;buchhandlung;study;
;buchhändler;stuff;
;buchladen;sugar;
;aufnahme;summer;
;krankenhaus;sun;
;wirbelknochen;sunday;
;rückenwirbel;super;
;wirbel;support;
;faselei;sure;
;dummes;surprise;
;geschwätz;swim;
;website;system;
;homepage;table;
;webseite;take;
;internetseite;talk;
;moderig;tall;
;stinkend;taste;
;muffig;teach;
;übel;team;
;riechend;telephone;
;modrig;television;
;unangenehm;temperature;
;riechen;tell;
;übelriechend;ten;
;speisen;test;
;tisch;than;
;tafeln;thank;
;dinieren;that;
;mahlzeit;the;
;essen;their;
;sed;them;
;sozialistische;then;
;blöken;there;
;brüllen;they;
;wohlklingend;thing;
;sonor;think;
;gefällig;third;
;klangvoll;this;
;zoologischer;those;
;garten;though;
;zoo;thousand;
;tierpark;three;
;tiergarten;throw;
;kropf;thursday;
;vergrößerte;time;
;schilddrüse;tired;
;struma;to;
;keks;today;
;block;together;
;schreibblock;tomato;
;schwaden;tomorrow;
;dampf;tone;
;uneingeschränktes;tongue;
;absolutes;too;
;gebührend;tooth;
;reichlich;top;
;mangel;total;
;beklagen;touch;
;ausreichend;town;
;knapp;train;
;sattsam;travel;
;hinreichend;tree;
;reicht;TRUE;
;maßen;trust;
;genüge;truth;
;hinlänglich;try;
;genügend;tuesday;
;vollständigkeit;turn;
;lückenlosigkeit;twin;
;wimperntusche;two;
;stickhusten;type;
;keuchhusten;umbrella;
;gewöhnlicher;uncle;
;löwenzahn;under;
;butterblume;understand;
;pusteblume;unit;
;gewohnheit;until;
;angewohnheit;up;
;aktivierung;upon;
;beginn;use;
;anbruch;usual;
;quellcode;vacation;
;programmcode;value;
;code;vegetable;
;quelltext;very;
;sourcecode;victory;
;aufgelöst;village;
;durchgedreht;voice;
;hysterisch;wait;
;absetzung;wake;
;erniedrigung;walk;
;unschuldig;wall;
;befinden;want;
;schuld;war;
;freisprechen;warm;
;erklären;wash;
;lichtstrahl;watch;
;lichtschein;water;
;schein;wave;
;strahl;way;
;folgt;wear;
;folgendermaßen;weather;
;ausgabe;wedding;
;fassung;week;
;interpretation;welcome;
;scheit;well;
;entzücken;west;
;wonne;what;
;vergnügen;when;
;siebenbürgen;where;
;gehorsam;which;
;fügsam;while;
;lieb;white;
;folgsam;who;
;artig;why;
;konditioniert;wide;
;brav;wife;
;lamm;wild;
;gefügig;win;
;jahresabschluss;wind;
;erfolg;window;
;bilanz;winter;
;vorliebe;wise;
;belieben;wish;
;stehen;with;
;begeistert;without;
;lobe;woman;
;begeistern;wonder;
;gerne;wood;
;schwäche;word;
;angetan;work;
;loben;world;
;stattgegeben;worry;
;klar;worth;
;einverstanden;would;
;paletti;write;
;akzeptiert;wrong;
;okay;yard;
;genehmigt;year;
;gebongt;yellow;
;wille;yes;
;geschehe;yesterday;
;nehme;yet;
;roger;you;
;ordnung;young;
;sage;your;
;abgemacht;youth;
;deinen;zero;
;worten;zoo;
;überredet;;
;forstwirtschaft;;
;forstwesen;;
;vesper;;
;lunchpaket;;
;brotzeit;;
;stärkung;;
;häppchen;;
;leichte;;
;imbiss;;
;automatisch;;
;schließend;;
;test;;
;erprobung;;
;versuch;;
;probe;;
;prüfung;;
;vermehren;;
;karnickel;;
;kinder;;
;kriegen;;
;junge;;
;arterhaltung;;
;beitragen;;
;fortpflanzen;;
;reproduzieren;;
;marktgeschehen;;
;knallen;;
;zerplatzen;;
;flüsschen;;
;bach;;
;wassergraben;;
;akzeptieren;;
;goutieren;;
;billigen;;
;gutheißen;;
;band;;
;formation;;
;kapelle;;
;gruppe;;
;ensemble;;
;mus;;
;brei;;
;creme;;
;breiige;;
;masse;;
;pudding;;
;kette;;
;bank;;
;stelle;;
;schärfsten;;
;sehens;;
;gelber;;
;fleck;;
;schließer;;
;gefängniswärter;;
;wärter;;
;kerkermeister;;
;vorschriftsmäßig;;
;laut;;
;satzung;;
;vorschrift;;
;zuverlässigkeit;;
;gewissheit;;
;sicherheit;;
;klarheit;;
;aufgeklärt;;
;realistisch;;
;vorurteilsfrei;;
;tau;;
;seil;;
;trosse;;
;strick;;
;wurzel;;
;rand;;
;befindlich;;
;marginal;;
;liegend;;
;elternhaus;;
;herkommen;;
;abstammung;;
;ursprung;;
;wurzeln;;
;geburt;;
;abkunft;;
;herkunft;;
;frische;;
;luft;;
;wandeln;;
;spazieren;;
;schlendern;;
;füße;;
;vertreten;;
;promenieren;;
;ergehen;;
;spaziergang;;
;beine;;
;flanieren;;
;schnappen;;
;betriebszeit;;
;betriebsstunden;;
